page_namespace	page_id	page_title
1	10247899	George_O'Connor_(hurler)
1	36992408	Manila_Elks_Club
1	35609277	(44855)_1999_UF6
1	30712029	Vincent_Fovargue
1	23045860	Mimmo_Paladino
1	18460709	Stanage_Pole
1	29214569	Prorocentrales
1	23022556	By_the_Pricking_of_My_Thumbs_(novel)
1	35074063	Socialism_with_no_doctrine
1	43401190	JB_Speed_School
1	40412503	Iconic_(EP)
1	18140078	List_of_Sun_Microsystems_employees
1	34728609	Last_Days_And_Time
1	10294067	Ingersheim
1	43728436	Rajkot_railway_station
1	19079530	Znaur_(urban_village)
1	43128154	2013–14_Boston_College_Eagles_women's_ice_hockey_season
1	47190250	Wayland_(MBTA_station)
1	21367964	Instruments_used_in_internal_medicine
1	10406412	Countess_Emilia_of_Nassau
1	45443586	Gonipterus
1	19272142	Cycling_at_the_2008_Summer_Paralympics_–_Men's_individual_pursuit_(CP_4)
1	36110525	Sergei_Ivanovich_Kuznetsov
1	47029797	Muhammad_Iqbal_(sport_shooter)
1	24599340	1928_in_literature
1	17477894	7531_Pecorelli
1	46551539	Wuhan_Yangtze_International_School
1	29359513	North_Boarhunt
1	37745860	Villagio
1	22116543	Elitserien_(bandy)
1	26475595	Miss_Venezuela_1971
1	15344569	Timeline_of_the_War_in_Afghanistan_(March_2003)
1	40643844	USS_Powder_River
1	19221788	52nd_(Oxfordshire)_Regiment_of_Foot/GA1
1	33563700	2011_Valencia_Open_500_–_Singles_Qualifying
1	46403335	Personal_Flight_Sky-Bike
1	25920510	Dody_Roach
1	44826103	Baron_Athenry
1	46902014	Herning_Centret
1	5000649	Carsonville,_Missouri
1	21360532	List_of_Registered_Historic_Places_in_Columbiana_County,_Ohio
1	18564064	Mark_Zsifkovits
1	44355068	NLEX_Road_Warriors_(PBA_D-League)
1	43553092	Millwood,_Kansas
1	12412599	Jars_of_Clay_discography
1	7315453	The_Diffs
1	28737144	Marton,_Blackpool
1	16057731	A_Charlie_Brown_Valentine
1	7342235	Kirigakure_Saizō
1	24340699	Sounds_of_Love
1	11518049	Drawn_to_Life
1	4545700	La_Crosse_River
1	12224459	Dysart,_County_Roscommon
1	20447776	San_Jerónimo_District_(disambiguation)
