1	28215914	Central_Entrerriano
3	2255764	24.162.15.218
1	34248145	Personal_Ordinariate_of_the_Chair_of_Saint_Peter
3	19965073	71.68.203.64
1	15093412	Tom_Mintier
1	44052442	Scytovirin
1	13013976	It's_Over_Now_(Cause_&_Effect_song)
1	45248656	Women's_Vocal_Orchestra_of_Sumatra
3	47564794	74.78.84.141
3	34874259	92.234.120.134
1	44126251	Kericho_Gold
3	37198725	24.43.68.74
3	21976447	75.74.159.15
3	30656000	150.134.112.154
3	42775034	36.81.78.66
1	29111352	Vishal_Sangh
3	38687389	50.193.163.197
3	5596844	Edroan
1	10830121	Bell_Shakespeare
3	34125883	167.102.162.38/Archive_1
3	1357561	Gukarma
3	18721476	Billybobjoe2323
3	31200147	Nanninanni~enwiki
1	46629985	St_Gregory's_Minster
3	22005307	74.209.15.177
3	34032899	173.49.93.27
3	21423997	168.11.116.193
3	40621304	59.91.130.42
1	41795995	Umi-a-Liloa
3	47160543	Jack1016
1	32992639	Yarıkkaya,_Emirdağ
3	33630199	68.45.213.15
1	32199505	Swimming_at_the_2010_Asian_Games_–_Women's_50_metre_butterfly
1	9816706	Anthony_B._Pinn
3	36128195	Louis993546
1	21874840	Bloomingburg_Reformed_Protestant_Dutch_Church
3	20649891	Artiphacts
3	655404	205.188.116.21
1	33012737	Blacks_Fork_Commissary,_Utah
3	12048081	Sibonakaliso
3	28635827	Rmoores2001
1	42335240	Major_National_Historical_and_Cultural_Sites_(Qinghai)
3	5104465	142.227.107.253
3	4452651	24.238.150.137
3	13082172	Alonso_mxc
3	30812651	98.231.105.62
1	38453295	Sarojini_Naidu_class_Extra-fast_patrol_vessel
1	14100485	Riot_on_the_Grill
1	10295114	Werbach
3	23809229	Justin_Kath
1	1862176	STS-97
1	18929655	Baqqal
3	37050828	117.205.249.72
1	20252615	Patiño
3	20538064	68.192.49.216
1	17953219	Azureus
1	41623087	M-8_(Michigan_highway)/Archive_1
1	28324034	2009_Brașov_Challenger_–_Doubles
3	33321246	Ueitjiua
3	8251871	82.21.172.21
3	30753353	70.180.164.202
3	41394206	Melechesh812
1	1056914	Saishū_Onoe
3	41978915	24.224.240.180
1	31287263	List_of_science_fiction_films:_2010s
1	36810349	Judo_by_country
1	33362396	UN_Youth_Australia
1	29059740	Athyra_(Thrace)
3	18941687	75.71.58.160
3	17772132	Siennaweb
1	27584112	Yohei_Taniike
3	20101867	Stevoboi
3	26247828	Abgoto
1	26931833	SS_Harmodius_(1919)
3	20344844	74.161.35.93
1	21398427	Eurus_Wind_Farm
1	36461844	J.D._Robb
1	29044046	Médiacité
3	27663406	Williamrae
1	3579418	Loukoum
3	8999703	Echiesse~enwiki
1	1422328	Tendo_King
3	5741542	Panni_au
3	20889166	124.43.82.37
1	30366800	Strings_1
1	18294315	International_Time_Capsule_Society
3	7655950	Hipster_Beatnik
1	42664095	Valea_Viilor_fortified_church
3	8821350	Jandros
3	30630319	Hmate9
1	42693195	Oreos_Athletic_Club
1	39587531	Texas_in_July_(album)
3	47551581	41.190.14.72
1	33683507	Zahra_Dowlatabadi
3	38863359	109.153.98.123
1	44590384	2002_Golden_Globes_(Portugal)
3	33658699	78.21.68.199
1	6648972	Link_Belt_(SEPTA_station)
3	26521117	69.234.17.76
1	21511541	Saint_Nestor
1	11842894	Suez_triangle
3	22085993	Paul_J._Fujii
3	45442147	24.164.140.177
3	37202697	Doomduck456
3	46162312	Zwanzig~enwiki
3	19992670	68.173.184.74
1	10524868	Ready_Steady_Go!
3	26855741	205.250.253.205
1	2535738	Talbot
3	21274263	211.30.171.71
3	17482319	74.229.18.247
1	41237301	Clepticus_parrae
3	37644083	86.139.200.173
1	17171826	Joanne_Morgan_(netball)
1	42352501	Aleksandr_Kharitonov_(ice_hockey)
3	13525677	Eggsandmayo2
1	16472700	Renaissance_Elementary_School
1	15262940	Mark_Campbell_(political_consultant)
3	39379235	173.49.159.250
3	45859797	Fred77~enwiki
3	47287480	Cherabs07
3	14845096	70.140.44.41
1	10749156	Chris_Masuak
3	25431906	Hami456
3	33536949	Stevbass
3	24442763	67.171.46.22
3	13364593	Beethoven12
1	5622475	List_of_Harry_Potter_parodies
1	45146354	USS_Barnett_(AP-11)
1	38755034	Napple_Tale
1	27027343	The_Marbles_(quartet)
1	10047933	The_Tape_of_Only_Linda
3	11016213	Bennet34
3	19846734	92.17.221.68
3	32025938	186.204.75.42
3	26082806	41.141.63.35
1	33470059	Jalbotina
1	14140270	British_logistics_in_the_Second_Boer_War
3	26085394	99.237.64.20
3	36406874	Vonsure
